paper_id,section,para_idx,sent_start,sent_end,claim_text,receipt_sentence,is_claim,is_atomic,receipt_ok,notes
2212.11765,Conclusion,65,676,795,This model outperforms all provided baselines when comparing the average absolute difference to the Asset4 ESG ratings.,This model outperforms all provided baselines when comparing the average absolute difference to the Asset4 ESG ratings.,,,,
2212.11773,Discussion,139,188,591,"Tully often points out that there are circumstances in which the Ehrenfest method outperforms FSSH, especially in cases where there are many states close in energy, such as near metal surfaces.{{cite:f9d7db6a2792568e9b8c092ea1bdd74a06f83356}} In the same way, there is no guarantee that MASH will be superior to spin-LSC, as both approaches are formally derived as short-time approximations to the QCLE.","Tully often points out that there are circumstances in which the Ehrenfest method outperforms FSSH, especially in cases where there are many states close in energy, such as near metal surfaces.{{cite:f9d7db6a2792568e9b8c092ea1bdd74a06f83356}} In the same way, there is no guarantee that MASH will be superior to spin-LSC, as both approaches are formally derived as short-time approximations to the QCLE.",,,,
2212.11774,Evaluation,99,13,178,"{{cite:ba9b2b1f79000921006c35ad17598ffdf7040847}} observe that after the integration of PredFL, CombineFL improves its recall at all Top levels (1,3,5,10) with 4-8%.","{{cite:ba9b2b1f79000921006c35ad17598ffdf7040847}} observe that after the integration of PredFL, CombineFL improves its recall at all Top levels (1,3,5,10) with 4-8%.",,,,
2212.11774,Evaluation,65,129,309,"{{cite:67d89d65e868b0a9ffc06d82c2e61765759e6754}} observe that D&C is able to localize more bugs than all state-of-the-art tools at Top 1, Top 5.","{{cite:67d89d65e868b0a9ffc06d82c2e61765759e6754}} observe that D&C is able to localize more bugs than all state-of-the-art tools at Top 1, Top 5 and Top 10 with up to 13% at Top 1.",,,,
2212.11773,Conclusions,145,328,770,"In practice, however, it is often sufficient to use only about 1000 trajectories in FSSH to obtain qualitatively correct results with only a few small wiggles.{{cite:77f516d0734ef7e6bc1fca15beccb2c9f92f4d40}} We observed that the convergence behaviour of MASH is similar to that of FSSH, so that in practice, far fewer trajectories than we have actually used are needed in the majority of cases to qualitatively describe the correct dynamics.","In practice, however, it is often sufficient to use only about 1000 trajectories in FSSH to obtain qualitatively correct results with only a few small wiggles.{{cite:77f516d0734ef7e6bc1fca15beccb2c9f92f4d40}} We observed that the convergence behaviour of MASH is similar to that of FSSH, so that in practice, far fewer trajectories than we have actually used are needed in the majority of cases to qualitatively describe the correct dynamics.",,,,
2212.11774,Evaluation,56,993,1142,"Secondly, CooBa {{cite:349776740115c6fc4e323654320c4ed5a97ae822}} outperforms other cross-project techniques w.r.t both MAP and Recall at Top 10 (cf.","Secondly, CooBa {{cite:349776740115c6fc4e323654320c4ed5a97ae822}} outperforms other cross-project techniques w.r.t both MAP and Recall at Top 10 (cf.",,,,
2212.11774,Evaluation,98,121,258,{{cite:ba9b2b1f79000921006c35ad17598ffdf7040847}} are interested in whether the approach is complementary to state-of-the-art techniques.,{{cite:ba9b2b1f79000921006c35ad17598ffdf7040847}} are interested in whether the approach is complementary to state-of-the-art techniques.,,,,
2212.11831,Abstract,-1,666,813,We demonstrate the method by exploring how $t$ depends on the identity and relative placement of typical moieties found in semiconducting polymers.,We demonstrate the method by exploring how $t$ depends on the identity and relative placement of typical moieties found in semiconducting polymers.,,,,
2212.11770,Abstract,-1,1323,1474,S-Graphs+ outperforms relevant baselines in the majority of the datasets while extending the robot situational awareness by a four-layered scene model.,S-Graphs+ outperforms relevant baselines in the majority of the datasets while extending the robot situational awareness by a four-layered scene model.,,,,
2212.11773,Conclusions,145,0,327,"In order to ensure full convergence of our results and to capture the subtle differences between the various methods, we used {{formula:fd3601d2-6e8c-4cd1-a118-ae3f81f8d557}} trajectories for all quasiclassical methods in this work, including the case in which the MASH decoherence correction was applied to Tully's model III.","In order to ensure full convergence of our results and to capture the subtle differences between the various methods, we used {{formula:fd3601d2-6e8c-4cd1-a118-ae3f81f8d557}} trajectories for all quasiclassical methods in this work, including the case in which the MASH decoherence correction was applied to Tully's model III.",,,,
2212.11790,Experiments,35,0,242,"We evaluate Normalized Contrastive Learning (NCL) on multimodal retrieval on popular text-video datasets including ActivityNet, MSVD, and MSR-VTT and report recall-at-K (R@K) metrics (higher is better), median and mean rank (lower is better).","We evaluate Normalized Contrastive Learning (NCL) on multimodal retrieval on popular text-video datasets including ActivityNet, MSVD, and MSR-VTT and report recall-at-K (R@K) metrics (higher is better), median and mean rank (lower is better).",,,,
2212.11809,Discussion,22,345,525,"Retro*-extended, where MHNreact improves only slightly in solvability despite having considerably more time.","This difference in performance may be explained by comparing Retro* and Retro*-extended, where MHNreact improves only slightly in solvability despite having considerably more time.",,,,
2212.11790,Abstract,-1,770,1038,"Empirical study shows that NCL brings consistent and significant gains in text-video retrieval on different model architectures, with new state-of-the-art multimodal retrieval metrics on the ActivityNet, MSVD, and MSR-VTT datasets without any architecture engineering.","Empirical study shows that NCL brings consistent and significant gains in text-video retrieval on different model architectures, with new state-of-the-art multimodal retrieval metrics on the ActivityNet, MSVD, and MSR-VTT datasets without any architecture engineering.",,,,
2212.11774,Evaluation,105,0,97,"Initially, in the evaluation PRFL is compared against state-of-the-art spectrum based techniques.","Initially, in the evaluation PRFL is compared against state-of-the-art spectrum based techniques.",,,,
2212.11774,Evaluation,51,0,258,"Finally, comparing the performance of the CNN to that of IR techniques, such as BugLocator{{cite:3dd5d4b0f797256b87d655b600cee5f2cb358584}}.","Finally, comparing the performance of the CNN to that of IR techniques, such as BugLocator{{cite:3dd5d4b0f797256b87d655b600cee5f2cb358584}} and BLUiR {{cite:e884e185c4edc54edbd1cac0ea9053e48c859b94}}, the CNN outperforms the other techniques in every metric.",,,,
2212.11831,Conclusions,97,616,794,"Then, we demonstrate how the method can be used to explore how hopping matrix elements vary with the chemical identity and relative placement of two molecules in close proximity.","Then, we demonstrate how the method can be used to explore how hopping matrix elements vary with the chemical identity and relative placement of two molecules in close proximity.",,,,
2212.11774,Evaluation,49,0,188,"When comparing the performance of the CNN to that of the Simple Logistic Model, the researchers conclude that the former outperforms the latter in most cases, but has higher training time.","When comparing the performance of the CNN to that of the Simple Logistic Model, the researchers conclude that the former outperforms the latter in most cases, but has higher training time.",,,,
2212.11774,Evaluation,27,59,249,{{cite:e884e185c4edc54edbd1cac0ea9053e48c859b94}} use the same dataset and evaluation metrics used for the then state-of-the-art BugLocator {{cite:3dd5d4b0f797256b87d655b600cee5f2cb358584}}.,{{cite:e884e185c4edc54edbd1cac0ea9053e48c859b94}} use the same dataset and evaluation metrics used for the then state-of-the-art BugLocator {{cite:3dd5d4b0f797256b87d655b600cee5f2cb358584}}.,,,,
2212.11850,Conclusion,107,0,131,"We presented DYST, the first covert channel that sends secret messages through the content of unaltered legitimate network traffic.","We presented DYST, the first covert channel that sends secret messages through the content of unaltered legitimate network traffic.",,,,
2212.11772,Experiments,29,0,180,"In this section, we evaluate the performance of the Self-Adjusting Fusion Representation Learning Model on the public multimodal sentiment analysis datasets CMU-MOSI and CMU-MOSEI.","In this section, we evaluate the performance of the Self-Adjusting Fusion Representation Learning Model on the public multimodal sentiment analysis datasets CMU-MOSI and CMU-MOSEI.",,,,
2212.11773,Discussion,140,1097,1278,"In our study of the three-mode pyrazine model, we show that MASH can accurately recover the vibrational dynamics even though we do apply momentum reversals for every frustrated hop.","In our study of the three-mode pyrazine model, we show that MASH can accurately recover the vibrational dynamics even though we do apply momentum reversals for every frustrated hop.",,,,
2212.11772,Abstract,-1,1296,1439,The experiment results show that our model has significantly improved the performance of all the metrics on the unaligned text-audio sequences.,The experiment results show that our model has significantly improved the performance of all the metrics on the unaligned text-audio sequences.,,,,
2212.11831,Conclusions,97,0,615,"We have validated this Frontier Orbital Numerical Projection method by repeating published results for scans of {{formula:8ca60173-f755-4269-abbd-f89eff69013c}} versus separation between two parallel tetracene molecules (for which energy splitting is sufficient to determine {{formula:92bd29eb-8fe7-4ebd-af4d-a78fe1ffd263}} ), and as well for {{formula:ef7bafc1-cfa4-457a-a858-b92154d7abd6}} versus rotation between two initially parallel ethylene molecules (for which orbital overlaps must be computed to determine {{formula:8a8d9abd-d5e3-4eba-88dd-ece7af63795d}} ); we find good agreement with previous results.","We have validated this Frontier Orbital Numerical Projection method by repeating published results for scans of {{formula:8ca60173-f755-4269-abbd-f89eff69013c}} versus separation between two parallel tetracene molecules (for which energy splitting is sufficient to determine {{formula:92bd29eb-8fe7-4ebd-af4d-a78fe1ffd263}} ), and as well for {{formula:ef7bafc1-cfa4-457a-a858-b92154d7abd6}} versus rotation between two initially parallel ethylene molecules (for which orbital overlaps must be computed to determine {{formula:8a8d9abd-d5e3-4eba-88dd-ece7af63795d}} ); we find good agreement with previous results.",,,,
2212.11803,Abstract,-1,609,748,We show that EuclidNet is aligned with matrix multiplication and it can be used as a measure of similarity in case of convolutional layers.,We show that EuclidNet is aligned with matrix multiplication and it can be used as a measure of similarity in case of convolutional layers.,,,,
2212.11774,Evaluation,77,687,808,the Learn to rank approach as well due to some inherent weakness of those methods.,DNNLoc outperforms the Naive Bayes and the Learn to rank approach as well due to some inherent weakness of those methods.,,,,
2212.11850,Conclusion,107,640,766,Our results for this initial work indicate a limited but variable throughput dependent on the number of bits signaled at once.,Our results for this initial work indicate a limited but variable throughput dependent on the number of bits signaled at once.,,,,
2212.11809,Discussion,20,0,158,"Given our results, no clear pattern supports the usage of single-step top-k metrics as a potential proxy measure for solvability in multi-step retrosynthesis.","Given our results, no clear pattern supports the usage of single-step top-k metrics as a potential proxy measure for solvability in multi-step retrosynthesis.",,,,
2212.11809,Conclusion,29,0,220,"With this work, we provide an overview of how current state-of-the-art single-step models fare within contemporary search algorithms, however, we only evaluate a selected scope of single-step and multi-step combinations.","With this work, we provide an overview of how current state-of-the-art single-step models fare within contemporary search algorithms, however, we only evaluate a selected scope of single-step and multi-step combinations.",,,,
2212.11774,Evaluation,42,267,376,"In the quantitative evaluation, CBT always produces better results than Liblit05 generally outperforms Sober.","In the quantitative evaluation, CBT always produces better results than Liblit05 generally outperforms Sober.",,,,
2212.11790,Abstract,-1,301,452,"Specifically, we show that many test instances are either over- or under-represented during retrieval, significantly hurting the retrieval performance.","Specifically, we show that many test instances are either over- or under-represented during retrieval, significantly hurting the retrieval performance.",,,,
2212.11809,Conclusion,28,350,549,"Additionally, we show the importance of developing single-step models for the multi-step domain, as single-step models can have an impressive impact on multi-step retrosynthesis planning performance.","Additionally, we show the importance of developing single-step models for the multi-step domain, as single-step models can have an impressive impact on multi-step retrosynthesis planning performance.",,,,
2212.11809,Conclusion,28,722,840,"Interestingly, LocalRetro outperforms other single-step models, even those with similar single-step accuracy profiles.","Interestingly, LocalRetro outperforms other single-step models, even those with similar single-step accuracy profiles.",,,,
2212.11808,"Discussions, Conclusions and Future Directions",55,0,162,We demonstrated the proposed text-generation framework using the RoBERTa-based detector that is pre-trained for separating human-written text from synthetic ones.,We demonstrated the proposed text-generation framework using the RoBERTa-based detector that is pre-trained for separating human-written text from synthetic ones.,,,,
2212.11790,Experiments,39,0,155,Architecture We use the state-of-the-art architecture of CLIP4Clip {{cite:4d5b1eb2a12be9c450cbb627c547b1b4f615a380}} with the code released by the authors.,Architecture We use the state-of-the-art architecture of CLIP4Clip {{cite:4d5b1eb2a12be9c450cbb627c547b1b4f615a380}} with the code released by the authors.,,,,
2212.11765,Abstract,-1,744,961,"Through the experimental evaluation we find out that our approach provides accurate results outperforming the state-of-the-art, and can be used in practice to support a manual determination or analysis of ESG ratings.","Through the experimental evaluation we find out that our approach provides accurate results outperforming the state-of-the-art, and can be used in practice to support a manual determination or analysis of ESG ratings.",,,,
2212.11850,Conclusion,107,544,639,We presented two feasible encoding strategies and implemented DYST in two network environments.,We presented two feasible encoding strategies and implemented DYST in two network environments.,,,,
2212.11773,Conclusions,144,1051,1175,"In the cases where it deviated significantly from zero, we observed that there was a corresponding error in the populations.","In the cases where it deviated significantly from zero, we observed that there was a corresponding error in the populations.",,,,
2212.11774,Evaluation,77,11,169,{{cite:e829b51dd36af83047e3e2009f3c3d4f24fe5d59}} do also compare the results of DNNLoc against those of several state-of-the-art bug localization techniques.,{{cite:e829b51dd36af83047e3e2009f3c3d4f24fe5d59}} do also compare the results of DNNLoc against those of several state-of-the-art bug localization techniques.,,,,
2212.11803,Conclusion,62,709,851,The homotopy method further improves training in such scenarios and training using this method sometimes surpass regular convolution accuracy.,The homotopy method further improves training in such scenarios and training using this method sometimes surpass regular convolution accuracy.,,,,
2212.11774,Evaluation,65,704,775,"Nevertheless, D&C outperforms other tools for the majority of projects.","Nevertheless, D&C outperforms other tools for the majority of projects.",,,,
2212.11809,Discussion,26,121,378,our results may not apply to a more expansive chemical domain.,"Though USPTO-50k is the most commonly used dataset for benchmarking single-step retrosynthesis prediction models, it represents only a limited area of the chemical space such that the models and our results may not apply to a more expansive chemical domain.",,,,
2212.11774,Evaluation,65,129,309,Top 10 with up to 13% at Top 1.,"{{cite:67d89d65e868b0a9ffc06d82c2e61765759e6754}} observe that D&C is able to localize more bugs than all state-of-the-art tools at Top 1, Top 5 and Top 10 with up to 13% at Top 1.",,,,
2212.11802,Abstract,-1,708,853,"Because the onset of waves leads to an increase in flow rate for a given driving pressure, we observe an increase in diodicity within this range.","Because the onset of waves leads to an increase in flow rate for a given driving pressure, we observe an increase in diodicity within this range.",,,,
2212.11774,Evaluation,105,369,526,"the Recall at Top N, but it provides the biggest improvement when combined with the best performing techniques.","Interestingly, PRFL not only improves AWE and the Recall at Top N, but it provides the biggest improvement when combined with the best performing techniques.",,,,
2212.11774,Evaluation,84,160,233,"Legion improves the same scores by 143.4%, 58.1% and 36.4%, respectively.","Legion improves the same scores by 143.4%, 58.1% and 36.4%, respectively.",,,,
2212.11809,Discussion,26,121,378,"Though USPTO-50k is the most commonly used dataset for benchmarking single-step retrosynthesis prediction models, it represents only a limited area of the chemical space such that the models.","Though USPTO-50k is the most commonly used dataset for benchmarking single-step retrosynthesis prediction models, it represents only a limited area of the chemical space such that the models and our results may not apply to a more expansive chemical domain.",,,,
2212.11774,Evaluation,57,330,491,"CooBa outperforms CooBa* which indicates that without the use of adversarial transfer learning, noise from one project is brought with the transfer of knowledge.","CooBa outperforms CooBa* which indicates that without the use of adversarial transfer learning, noise from one project is brought with the transfer of knowledge.",,,,
2212.11770,Conclusion,64,698,861,We demonstrate state-of-the-art results against several baselines on simulated and real experiments covering different office and construction indoor environments.,We demonstrate state-of-the-art results against several baselines on simulated and real experiments covering different office and construction indoor environments.,,,,
2212.11809,Abstract,-1,926,1185,"We show that models designed for single-step retrosynthesis, when extended to multi-step, can have a tremendous impact on the route finding capabilities of current multi-step methods, improving performance by up to +30% compared to the most widely used model.","We show that models designed for single-step retrosynthesis, when extended to multi-step, can have a tremendous impact on the route finding capabilities of current multi-step methods, improving performance by up to +30% compared to the most widely used model.",,,,
2212.11790,Abstract,-1,453,769,"To address this problem, we propose Normalized Contrastive Learning (NCL) which utilizes the Sinkhorn-Knopp algorithm to compute the instance-wise biases that properly normalize the sum retrieval probabilities of each instance so that every text and video instance is fairly represented during cross-modal retrieval.","To address this problem, we propose Normalized Contrastive Learning (NCL) which utilizes the Sinkhorn-Knopp algorithm to compute the instance-wise biases that properly normalize the sum retrieval probabilities of each instance so that every text and video instance is fairly represented during cross-modal retrieval.",,,,
2212.11803,Abstract,-1,441,608,"To this end, we propose EuclidNet, a compression method, designed to be implemented on hardware which replaces multiplication, $xw$, with Euclidean distance $(x-w)^2$.","To this end, we propose EuclidNet, a compression method, designed to be implemented on hardware which replaces multiplication, $xw$, with Euclidean distance $(x-w)^2$.",,,,
2212.11770,Abstract,-1,929,1082,"To extract such high-level information, we present novel room and floor segmentation algorithms utilizing the mapped wall planes and free-space clusters.","To extract such high-level information, we present novel room and floor segmentation algorithms utilizing the mapped wall planes and free-space clusters.",,,,
2212.11774,Evaluation,65,935,1085,"Firstly, D&C outperforms the region-specific classifiers.","Firstly, D&C outperforms the region-specific classifiers and the classifier trained on bug reports which were localized at Top 1 at least by one tool.",,,,
2212.11826,Conclusion and Further Work,64,503,686,"Experimental results indicate superior generalization performance relative to the Quantum NTK, an advantage which is especially pronounced in high-depth, low signal-to-noise settings.","Experimental results indicate superior generalization performance relative to the Quantum NTK, an advantage which is especially pronounced in high-depth, low signal-to-noise settings.",,,,
2212.11809,Discussion,22,345,525,This difference in performance may be explained by comparing Retro*.,"This difference in performance may be explained by comparing Retro* and Retro*-extended, where MHNreact improves only slightly in solvability despite having considerably more time.",,,,
2212.11850,Conclusion,107,241,386,"In comparison to state-of-the-art methods, history covert channels do not rely on the imperfect modification or immitation of legitimate traffic.","In comparison to state-of-the-art methods, history covert channels do not rely on the imperfect modification or immitation of legitimate traffic.",,,,
2212.11774,Evaluation,106,433,518,They observe that state-of-the-art techniques perform inconsistently on the two sets.,They observe that state-of-the-art techniques perform inconsistently on the two sets.,,,,
2212.11774,Evaluation,65,935,1085,the classifier trained on bug reports which were localized at Top 1 at least by one tool.,"Firstly, D&C outperforms the region-specific classifiers and the classifier trained on bug reports which were localized at Top 1 at least by one tool.",,,,
2212.11826,Results,56,109,192,"QNTK, against the oracle.","For this, we evaluate test accuracy score for the QPK and QNTK, against the oracle.",,,,
2212.11809,Conclusion,28,1001,1130,"Overall, we show there is no easy transfer of single-step retrosynthesis models to the multi-step retrosynthesis planning domain.","Overall, we show there is no easy transfer of single-step retrosynthesis models to the multi-step retrosynthesis planning domain.",,,,
2212.11784,Abstract,-1,567,765,"As our main result, we show that the sum and tensor of two quantitative equational theories correspond to the categorical sum (i.e., coproduct) and tensor, respectively, of their effects qua monads.","As our main result, we show that the sum and tensor of two quantitative equational theories correspond to the categorical sum (i.e., coproduct) and tensor, respectively, of their effects qua monads.",,,,
2212.11809,Discussion,19,814,981,"We show that the exchange of the single-step model alone can improve solvability by +30.0%, reaching 80.6%, and triple the number of solved routes per molecule to 151.","We show that the exchange of the single-step model alone can improve solvability by +30.0%, reaching 80.6%, and triple the number of solved routes per molecule to 151.",,,,
2212.11765,Conclusion,65,1065,1157,We observe also better performance of the models on small cap companies than on larger ones.,We observe also better performance of the models on small cap companies than on larger ones.,,,,
2212.11774,Evaluation,77,385,478,"In comparison to BugLocator, DNNLoc achieves significant improvement on Top 1 and 5 accuracy.","In comparison to BugLocator, DNNLoc achieves significant improvement on Top 1 and 5 accuracy.",,,,
2212.11849,Abstract,-1,713,834,"We show that for a given level of accuracy, suitably chosen MP-ARK methods may provide significant reductions in runtime.","We show that for a given level of accuracy, suitably chosen MP-ARK methods may provide significant reductions in runtime.",,,,
2212.11774,Evaluation,65,0,91,"Initially, D&C is compared against each of the studied state-of-the-art tools individually.","Initially, D&C is compared against each of the studied state-of-the-art tools individually.",,,,
2212.11809,Conclusion,30,0,201,"To summarize, we show that single-step models should be developed and tested for the multi-step domain, and not as an isolated task, to successfully identify synthesis routes for molecules of interest.","To summarize, we show that single-step models should be developed and tested for the multi-step domain, and not as an isolated task, to successfully identify synthesis routes for molecules of interest.",,,,
2212.11826,Experimental evaluation of the Quantum Path Kernel in classifying Gaussian XOR Mixtures,42,547,657,"Finally, we compare the performances of the QNTK and QPK approaches in terms of testing and training accuracy.","Finally, we compare the performances of the QNTK and QPK approaches in terms of testing and training accuracy.",,,,
2212.11765,Evaluation of Predicted ESG Rating,59,0,227,"Additionally to the best performing deep CNN, the basic CNN and the deep Transformer regression model, which show promising performance in 2020 too, the basic CNN classification model outperforms all baselines in 2018 and 2019.","Additionally to the best performing deep CNN, the basic CNN and the deep Transformer regression model, which show promising performance in 2020 too, the basic CNN classification model outperforms all baselines in 2018 and 2019.",,,,
2212.11809,Discussion,19,0,194,"We show that a single-step retrosynthesis model can tremendously impact multi-step retrosynthesis planning, influencing the ability to solve products and successfully produce multiple solutions.","We show that a single-step retrosynthesis model can tremendously impact multi-step retrosynthesis planning, influencing the ability to solve products and successfully produce multiple solutions.",,,,
2212.11774,Evaluation,28,110,223,"It is observed that on three out of four projects, BLUiR outperforms BugLocator by a great margin on all metrics.","It is observed that on three out of four projects, BLUiR outperforms BugLocator by a great margin on all metrics.",,,,
2212.11765,Evaluation of Predicted ESG Rating,57,171,298,"This model outperforms all others with respect to a lower mean absolute difference, a lower standard and low maximum deviation.","This model outperforms all others with respect to a lower mean absolute difference, a lower standard and low maximum deviation.",,,,
2212.11774,Evaluation,65,426,604,Meaning that the performance of the state-of-the-art tools is compared against those of D&C for each individual project in the dataset (having D&C trained on the entire dataset).,Meaning that the performance of the state-of-the-art tools is compared against those of D&C for each individual project in the dataset (having D&C trained on the entire dataset).,,,,
2212.11774,Evaluation,105,369,526,"Interestingly, PRFL not only improves AWE.","Interestingly, PRFL not only improves AWE and the Recall at Top N, but it provides the biggest improvement when combined with the best performing techniques.",,,,
2212.11803,Abstract,-1,749,943,"Furthermore, we show that under various transformations and noise scenarios, EuclidNet exhibits the same performance compared to the deep learning models designed with multiplication operations.","Furthermore, we show that under various transformations and noise scenarios, EuclidNet exhibits the same performance compared to the deep learning models designed with multiplication operations.",,,,
2212.11774,Evaluation,51,0,258,"BLUiR {{cite:e884e185c4edc54edbd1cac0ea9053e48c859b94}}, the CNN outperforms the other techniques in every metric.","Finally, comparing the performance of the CNN to that of IR techniques, such as BugLocator{{cite:3dd5d4b0f797256b87d655b600cee5f2cb358584}} and BLUiR {{cite:e884e185c4edc54edbd1cac0ea9053e48c859b94}}, the CNN outperforms the other techniques in every metric.",,,,
2212.11790,Conclusion,46,431,628,Empirical studies show that NCL consistently reduces the normalization errors and brings significant gains in state-of-the-art text-video retrieval performance without any architecture engineering.,Empirical studies show that NCL consistently reduces the normalization errors and brings significant gains in state-of-the-art text-video retrieval performance without any architecture engineering.,,,,
2212.11773,Abstract,-1,0,177,We present a nonadiabatic classical-trajectory approach that offers the best of both worlds between fewest-switches surface hopping (FSSH) and quasiclassical mapping dynamics.,We present a nonadiabatic classical-trajectory approach that offers the best of both worlds between fewest-switches surface hopping (FSSH) and quasiclassical mapping dynamics.,,,,
2212.11790,Experiments,36,0,292,the size of the query queue on NCL's text-video retrieval performance (sec:effectofnormalization).,Compare NCL to state-of-the-art models in text-video retrieval using different model architectures (sec:comparisonsota) Analyze the effects of the proposed test time normalization method and the size of the query queue on NCL's text-video retrieval performance (sec:effectofnormalization),,,,
2212.11774,Evaluation,106,519,692,"For example, the Op2 technique {{cite:43fb2f0b2ab4ec34e9a97741dd58264d62618f0c}} which outperforms all other techniques on single-faults, performs the worst on multi-faults.","For example, the Op2 technique {{cite:43fb2f0b2ab4ec34e9a97741dd58264d62618f0c}} which outperforms all other techniques on single-faults, performs the worst on multi-faults.",,,,
2212.11826,Results,56,109,192,"For this, we evaluate test accuracy score for the QPK.","For this, we evaluate test accuracy score for the QPK and QNTK, against the oracle.",,,,
2212.11809,Abstract,-1,674,925,"In this work, we establish a bridge between both tasks by benchmarking the performance and transfer of different single-step retrosynthesis models to the multi-step domain by leveraging two common search algorithms, Monte Carlo Tree Search and Retro*.","In this work, we establish a bridge between both tasks by benchmarking the performance and transfer of different single-step retrosynthesis models to the multi-step domain by leveraging two common search algorithms, Monte Carlo Tree Search and Retro*.",,,,
2212.11809,Conclusion,28,107,349,"By extending current state-of-the-art single-step models to the multi-step domain, we find no clear relationship between the single-step and multi-step benchmarking metrics, in particular single-step top-k accuracy and multi-step solvability.","By extending current state-of-the-art single-step models to the multi-step domain, we find no clear relationship between the single-step and multi-step benchmarking metrics, in particular single-step top-k accuracy and multi-step solvability.",,,,
2212.11808,Abstract,-1,472,650,We showed examples of mutation operators but this work can be extended in many aspects such as proposing new text-based mutation operators based on the nature of the application.,We showed examples of mutation operators but this work can be extended in many aspects such as proposing new text-based mutation operators based on the nature of the application.,,,,
2212.11791,Abstract,-1,756,935,"Our approach supports layer normalization, attention, and an adaptive piecewise linear (PWL) approximation of activation functions, to serve a wide range of state-of-the-art RNNs.","Our approach supports layer normalization, attention, and an adaptive piecewise linear (PWL) approximation of activation functions, to serve a wide range of state-of-the-art RNNs.",,,,
2212.11849,Conclusions,128,168,441,"Our results demonstrate that mixing a single or even half precision function evaluation with the double precision corrections allows an accurate and convergent simulation at significant runtime savings, whereas the corresponding single or half precision codes are unstable.","Our results demonstrate that mixing a single or even half precision function evaluation with the double precision corrections allows an accurate and convergent simulation at significant runtime savings, whereas the corresponding single or half precision codes are unstable.",,,,
2212.11774,Evaluation,77,687,808,DNNLoc outperforms the Naive Bayes.,DNNLoc outperforms the Naive Bayes and the Learn to rank approach as well due to some inherent weakness of those methods.,,,,
2212.11770,Conclusion,64,0,186,"In this work we present S-Graphs+, a novel four-layered hierarchical factor graph composed of A keyframes layer constraining a sub-set of robot poses at specific distance-time intervals.","In this work we present S-Graphs+, a novel four-layered hierarchical factor graph composed of A keyframes layer constraining a sub-set of robot poses at specific distance-time intervals.",,,,
2212.11809,Abstract,-1,1186,1461,"Furthermore, we observe no clear link between contemporary single-step and multi-step evaluation metrics, showing that single-step models need to be developed and tested for the multi-step domain and not as an isolated task to find synthesis routes for molecules of interest.","Furthermore, we observe no clear link between contemporary single-step and multi-step evaluation metrics, showing that single-step models need to be developed and tested for the multi-step domain and not as an isolated task to find synthesis routes for molecules of interest.",,,,
2212.11790,Experiments,36,0,292,Compare NCL to state-of-the-art models in text-video retrieval using different model architectures (sec:comparisonsota) Analyze the effects of the proposed test time normalization method.,Compare NCL to state-of-the-art models in text-video retrieval using different model architectures (sec:comparisonsota) Analyze the effects of the proposed test time normalization method and the size of the query queue on NCL's text-video retrieval performance (sec:effectofnormalization),,,,
